Schritt,Zustand,Zeit,Programmdauer,Schrittdauer,Zyklus,Zyklusebene,Prozedur,Prozedurebene,AhAkku,AhLad,AhEla,AhStep,Energie,WhStep,Spannung,Strom,Temp
4,PAU,25:13.7,1520195,1520072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,25:23.6,1530155,1530032,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,25:33.7,1540198,1540075,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,25:43.6,1550179,1550056,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,25:53.7,1560198,1560075,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,26:03.6,1570163,1570040,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.4375
4,PAU,26:13.6,1580162,1580039,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,26:23.7,1590195,1590072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,26:33.6,1600171,1600048,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.4375
4,PAU,26:43.6,1610193,1610070,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,26:53.7,1620198,1620075,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,27:03.6,1630175,1630052,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,27:13.7,1640204,1640081,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,27:23.6,1650163,1650040,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,27:33.6,1660161,1660038,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,27:43.6,1670165,1670042,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,27:53.6,1680176,1680053,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,28:03.6,1690166,1690043,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,28:13.7,1700203,1700080,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,28:23.6,1710183,1710060,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,28:33.6,1720190,1720067,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,28:43.6,1730172,1730049,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,28:53.6,1740172,1740049,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,29:03.6,1750167,1750044,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,29:13.6,1760168,1760045,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,29:23.6,1770165,1770042,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,29:33.6,1780174,1780051,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,29:43.7,1790195,1790072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,29:53.7,1800187,1800064,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,30:03.6,1810189,1810066,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,30:13.7,1820193,1820070,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,30:23.6,1830158,1830035,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611592479,0,27.375
4,PAU,30:33.7,1840195,1840072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,30:43.6,1850182,1850059,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,30:53.6,1860185,1860062,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,31:03.6,1870180,1870057,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,31:13.6,1880163,1880040,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,31:23.6,1890182,1890059,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,31:33.6,1900174,1900051,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,31:43.6,1910185,1910062,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,31:53.6,1920166,1920043,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,32:03.6,1930174,1930051,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,32:13.6,1940187,1940064,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,32:23.7,1950194,1950071,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,32:33.7,1960197,1960074,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611592479,0,27.375
4,PAU,32:43.6,1970180,1970057,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,32:53.6,1980159,1980036,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,33:03.6,1990155,1990032,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,33:13.6,2000166,2000043,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,33:23.7,2010200,2010077,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,33:33.7,2020201,2020078,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,33:43.6,2030157,2030034,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,33:53.6,2040163,2040040,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,34:03.6,2050170,2050047,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,34:13.6,2060179,2060056,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,34:23.7,2070199,2070076,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,34:33.6,2080171,2080048,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,34:43.6,2090186,2090063,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,34:53.6,2100193,2100070,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,34:53.6,2100193,2100070,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,35:03.6,2110156,2110033,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,35:13.6,2120154,2120031,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,35:23.7,2130202,2130079,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,35:33.6,2140163,2140040,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,35:43.6,2150161,2150038,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,35:53.6,2160188,2160065,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,36:03.7,2170199,2170076,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,36:13.6,2180179,2180056,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,36:23.7,2190189,2190066,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611592479,0,27.375
4,PAU,36:33.7,2200196,2200073,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.4375
4,PAU,36:43.7,2210201,2210078,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,36:53.6,2220159,2220036,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,37:03.6,2230160,2230037,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.4375
4,PAU,37:13.7,2240203,2240080,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,37:23.6,2250183,2250060,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.4375
4,PAU,37:33.7,2260196,2260073,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,37:43.6,2270161,2270038,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,37:53.7,2280200,2280077,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
